Name,Model,Company,Year,Fuel Type,KM Driven,Transmission Type,Price(in Lakh),Location
Maruti Swift VXI,Swift VXI,Maruti,2016,PETROL,69995,Manual,570000,Bangalore
Maruti Swift VDI,Swift VDI,Maruti,2012,DIESEL,96264,Manual,414000,Bangalore
Renault Kwid RXL 1.0,Kwid RXL 1.0,Renault,2017,PETROL,30823,Manual,357000,Bangalore
Tata NEXON XZA PLUS PETROL,NEXON XZA PLUS PETROL,Tata,2022,PETROL,31940,Automatic,1030000,Bangalore
Renault Kwid CLIMBER MT 1.0,Kwid CLIMBER MT 1.0,Renault,2022,PETROL,16120,Manual,553000,Bangalore
KIA CARENS LUXURY PLUS 1.4 PETROL 7 STR,CARENS LUXURY PLUS 1.4 PETROL 7 STR,KIA,2022,PETROL,20581,Manual,1660000,Bangalore
KIA CARENS LUXURY PLUS 1.4 PETROL 6 STR,CARENS LUXURY PLUS 1.4 PETROL 6 STR,KIA,2022,PETROL,20460,Manual,1540000,Bangalore
Maruti Baleno ALPHA PETROL 1.2,Baleno ALPHA PETROL 1.2,Maruti,2017,PETROL,81548,Manual,633000,Bangalore
Maruti Ertiga VDI,Ertiga VDI,Maruti,2012,DIESEL,113536,Manual,655000,Bangalore
Hyundai NEW I20 Asta 1.0 GDI Turbo IMT,NEW I20 Asta 1.0 GDI Turbo IMT,Hyundai,2020,PETROL,22995,Manual,895000,Bangalore
Renault Kwid RXT 1.0 (O),Kwid RXT 1.0 (O),Renault,2019,PETROL,45725,Manual,433000,Bangalore
Hyundai Creta SX AT 1.6 PETROL,Creta SX AT 1.6 PETROL,Hyundai,2019,PETROL,51652,Automatic,1210000,Bangalore
Honda City 1.5L I-VTEC ZX CVT,City 1.5L I-VTEC ZX CVT,Honda,2019,PETROL,30264,Automatic,1160000,Bangalore
Maruti Ritz VXI,Ritz VXI,Maruti,2014,PETROL,73631,Manual,376000,Bangalore
Maruti Dzire VXI,Dzire VXI,Maruti,2019,PETROL,58029,Manual,694000,Bangalore
Tata Tiago XZ PETROL,Tiago XZ PETROL,Tata,2016,PETROL,53919,Manual,378000,Bangalore
Hyundai NEW SANTRO SPORTZ MT,NEW SANTRO SPORTZ MT,Hyundai,2019,PETROL,43454,Manual,475000,Bangalore
Maruti Dzire VXI,Dzire VXI,Maruti,2018,PETROL,19437,Manual,713000,Bangalore
Hyundai Elite i20 ASTA 1.2,Elite i20 ASTA 1.2,Hyundai,2015,PETROL,69680,Manual,552000,Bangalore
Tata NEXON XZ PLUS (PREMIUM) PETROL JET,NEXON XZ PLUS (PREMIUM) PETROL JET,Tata,2022,PETROL,30058,Manual,1190000,Bangalore
Mahindra XUV300 W8(O) 1.2 PETROL DUAL TONE,XUV300 W8(O) 1.2 PETROL DUAL TONE,Mahindra,2019,PETROL,41165,Manual,983000,Bangalore
Honda Amaze 1.2L I-VTEC VX,Amaze 1.2L I-VTEC VX,Honda,2018,PETROL,86555,Manual,626000,Bangalore
Maruti Ciaz ALPHA AT 1.5 SHVS PETROL,Ciaz ALPHA AT 1.5 SHVS PETROL,Maruti,2020,PETROL,44980,Automatic,877000,Bangalore
Maruti Alto K10 VXI (O),Alto K10 VXI (O),Maruti,2016,PETROL,19613,Manual,372000,Bangalore
