Name,Model,Company,Year,Fuel Type,KM Driven,Transmission Type,Price(in Lakh),Location
Maruti Celerio ZXI AMT,Celerio ZXI AMT,Maruti,2016,PETROL,43855,Automatic,465000,Bangalore
Honda Jazz 1.2L I-VTEC VX,Jazz 1.2L I-VTEC VX,Honda,2017,PETROL,34743,Manual,607000,Bangalore
Renault Kwid RXT 1.0 AMT (O),Kwid RXT 1.0 AMT (O),Renault,2019,PETROL,17650,Automatic,457000,Bangalore
Maruti Swift VXI,Swift VXI,Maruti,2015,PETROL,40348,Manual,509000,Bangalore
Renault Kwid CLIMBER 1.0 AMT,Kwid CLIMBER 1.0 AMT,Renault,2019,PETROL,35567,Automatic,452000,Bangalore
KIA CARENS LUXURY PLUS 1.4 PETROL 7 STR,CARENS LUXURY PLUS 1.4 PETROL 7 STR,KIA,2022,PETROL,10776,Manual,1740000,Bangalore
Honda City 1.5L I-VTEC ZX CVT,City 1.5L I-VTEC ZX CVT,Honda,2019,PETROL,33869,Automatic,1090000,Bangalore
Maruti Ciaz ZXI+,Ciaz ZXI+,Maruti,2015,PETROL,104650,Manual,558000,Bangalore
Hyundai Elite i20 ASTA 1.4 CRDI (O),Elite i20 ASTA 1.4 CRDI (O),Hyundai,2016,DIESEL,79701,Manual,731000,Bangalore
Maruti Celerio VXI AMT,Celerio VXI AMT,Maruti,2019,PETROL,28264,Automatic,508000,Bangalore
Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,Grand i10 SPORTZ 1.2 KAPPA VTVT,Hyundai,2015,PETROL,26534,Manual,453000,Bangalore
Maruti Baleno ZETA CVT PETROL 1.2,Baleno ZETA CVT PETROL 1.2,Maruti,2021,PETROL,26477,Automatic,840000,Bangalore
Maruti Ciaz DELTA 1.5 SHVS MT PETROL,Ciaz DELTA 1.5 SHVS MT PETROL,Maruti,2020,PETROL,60741,Manual,845000,Bangalore
Maruti Baleno ZETA PETROL 1.2,Baleno ZETA PETROL 1.2,Maruti,2017,PETROL,22396,Manual,648000,Bangalore
Hyundai i20 Active 1.2 SX,i20 Active 1.2 SX,Hyundai,2019,PETROL,73607,Manual,728000,Bangalore
KIA CARENS LUXURY 1.4 PETROL 7 STR,CARENS LUXURY 1.4 PETROL 7 STR,KIA,2023,PETROL,5126,Manual,1650000,Bangalore
Maruti Wagon R 1.0 VXI,Wagon R 1.0 VXI,Maruti,2015,PETROL,45789,Manual,386000,Bangalore
Maruti Baleno ALPHA PETROL 1.2,Baleno ALPHA PETROL 1.2,Maruti,2018,PETROL,52083,Manual,682000,Bangalore
Honda City 1.5L I-VTEC ZX,City 1.5L I-VTEC ZX,Honda,2022,PETROL,42212,Manual,1210000,Bangalore
Maruti Swift VXI,Swift VXI,Maruti,2013,PETROL,27532,Manual,460000,Bangalore
Mahindra XUV300 W8 (O) 1.5 DIESEL,XUV300 W8 (O) 1.5 DIESEL,Mahindra,2019,DIESEL,64772,Manual,1020000,Bangalore
Maruti Wagon R 1.0 VXI AMT,Wagon R 1.0 VXI AMT,Maruti,2017,PETROL,84182,Automatic,465000,Bangalore
Hyundai NEW SANTRO ASTA MT,NEW SANTRO ASTA MT,Hyundai,2019,PETROL,55677,Manual,471000,Bangalore
Maruti Ciaz ALPHA AT 1.5 SHVS PETROL,Ciaz ALPHA AT 1.5 SHVS PETROL,Maruti,2019,PETROL,49968,Automatic,897000,Bangalore
Hyundai Grand i10 SPORTZ AT 1.2 KAPPA VTVT,Grand i10 SPORTZ AT 1.2 KAPPA VTVT,Hyundai,2019,PETROL,73192,Automatic,564000,Bangalore
Hyundai Elite i20 ASTA 1.2,Elite i20 ASTA 1.2,Hyundai,2017,PETROL,23793,Manual,699000,Bangalore
Mahindra XUV300 W8 (O) 1.5 DIESEL,XUV300 W8 (O) 1.5 DIESEL,Mahindra,2019,DIESEL,53460,Manual,1110000,Bangalore
Honda City 1.5L I-VTEC S MT,City 1.5L I-VTEC S MT,Honda,2013,PETROL,89796,Manual,453000,Bangalore
Honda City 1.5L I-VTEC S MT,City 1.5L I-VTEC S MT,Honda,2012,PETROL,87836,Manual,458000,Bangalore
Maruti Swift VXI,Swift VXI,Maruti,2012,PETROL,97265,Manual,421000,Bangalore
Hyundai GRAND I10 NIOS SPORTZ AMT 1.2 KAPPA VTVT,GRAND I10 NIOS SPORTZ AMT 1.2 KAPPA VTVT,Hyundai,2020,PETROL,14274,Automatic,728000,Bangalore
Maruti S PRESSO VXI+,S PRESSO VXI+,Maruti,2022,PETROL,11295,Manual,503000,Bangalore
Maruti Celerio ZXI AMT (O),Celerio ZXI AMT (O),Maruti,2018,PETROL,80488,Automatic,450000,Bangalore
Honda Jazz 1.2L I-VTEC V AT,Jazz 1.2L I-VTEC V AT,Honda,2015,PETROL,55600,Automatic,639000,Bangalore
Maruti Swift VXI,Swift VXI,Maruti,2016,PETROL,97896,Manual,548000,Bangalore
Honda Jazz 1.2L I-VTEC V AT,Jazz 1.2L I-VTEC V AT,Honda,2017,PETROL,59350,Automatic,581000,Bangalore
KIA SONET GTX PLUS 1.0 IMT,SONET GTX PLUS 1.0 IMT,KIA,2022,PETROL,11338,Manual,1200000,Bangalore
Maruti Ciaz VDI,Ciaz VDI,Maruti,2014,DIESEL,86623,Manual,560000,Bangalore
Honda City 1.5L I-VTEC ZX CVT,City 1.5L I-VTEC ZX CVT,Honda,2018,PETROL,25751,Automatic,1050000,Bangalore
Tata TIGOR XZ PETROL,TIGOR XZ PETROL,Tata,2022,PETROL,13622,Manual,690000,Bangalore
Maruti Baleno ALPHA PETROL 1.2,Baleno ALPHA PETROL 1.2,Maruti,2017,PETROL,67549,Manual,681000,Bangalore
Hyundai Elite i20 ASTA 1.2,Elite i20 ASTA 1.2,Hyundai,2017,PETROL,51852,Manual,658000,Bangalore
Maruti Ciaz ZDI SHVS,Ciaz ZDI SHVS,Maruti,2016,DIESEL,60384,Manual,722000,Bangalore
Mahindra XUV300 W8 (O) 1.5 DIESEL AMT,XUV300 W8 (O) 1.5 DIESEL AMT,Mahindra,2019,DIESEL,41999,Automatic,984000,Bangalore
Maruti Wagon R 1.0 VXI AMT,Wagon R 1.0 VXI AMT,Maruti,2016,PETROL,35322,Automatic,447000,Bangalore
Hyundai Creta SX AT 1.6 PETROL,Creta SX AT 1.6 PETROL,Hyundai,2019,PETROL,58130,Automatic,1080000,Bangalore
Maruti Wagon R 1.0 VXI,Wagon R 1.0 VXI,Maruti,2013,PETROL,40896,Manual,363000,Bangalore
Honda Jazz 1.2L I-VTEC V,Jazz 1.2L I-VTEC V,Honda,2017,PETROL,55339,Manual,605000,Bangalore
Hyundai AURA SX PLUS 1.2 AMT,AURA SX PLUS 1.2 AMT,Hyundai,2022,PETROL,9393,Automatic,794000,Bangalore
Hyundai i20 SPORTZ 1.2,i20 SPORTZ 1.2,Hyundai,2012,PETROL,62951,Manual,432000,Bangalore
Maruti A Star VXI,A Star VXI,Maruti,2012,PETROL,71079,Manual,279000,Bangalore
Renault Duster RXZ 1.5 PETROL MT,Duster RXZ 1.5 PETROL MT,Renault,2020,PETROL,41619,Manual,884000,Bangalore
Hyundai Eon ERA PLUS (O),Eon ERA PLUS (O),Hyundai,2018,PETROL,57966,Manual,354000,Bangalore
Hyundai Grand i10 ASTA 1.2 KAPPA VTVT,Grand i10 ASTA 1.2 KAPPA VTVT,Hyundai,2018,PETROL,92759,Manual,497000,Bangalore
KIA SONET GTX PLUS 1.0 IMT,SONET GTX PLUS 1.0 IMT,KIA,2020,PETROL,32712,Manual,1090000,Bangalore
Maruti Wagon R 1.0 VXI AMT,Wagon R 1.0 VXI AMT,Maruti,2016,PETROL,38333,Automatic,442000,Bangalore
Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,Grand i10 SPORTZ 1.2 KAPPA VTVT,Hyundai,2016,PETROL,49460,Manual,447000,Bangalore
Maruti Celerio ZXI,Celerio ZXI,Maruti,2018,PETROL,39085,Manual,482000,Bangalore
Maruti Celerio VXI AMT,Celerio VXI AMT,Maruti,2022,PETROL,9778,Automatic,619000,Bangalore
Maruti Celerio ZXI AMT,Celerio ZXI AMT,Maruti,2021,PETROL,20754,Automatic,632000,Bangalore
Mahindra XUV300 W8 (O) 1.5 DIESEL,XUV300 W8 (O) 1.5 DIESEL,Mahindra,2021,DIESEL,38811,Manual,1110000,Bangalore
Maruti Wagon R 1.0 VXI AMT,Wagon R 1.0 VXI AMT,Maruti,2016,PETROL,69324,Automatic,408000,Bangalore
KIA SONET HTX PLUS 1.0 IMT,SONET HTX PLUS 1.0 IMT,KIA,2021,PETROL,21854,Manual,1140000,Bangalore
Maruti S PRESSO VXI (O) AMT,S PRESSO VXI (O) AMT,Maruti,2023,PETROL,11631,Automatic,577000,Bangalore
Tata NEXON XZA PLUS (HS) PETROL,NEXON XZA PLUS (HS) PETROL,Tata,2022,PETROL,15617,Automatic,1210000,Bangalore
Hyundai Elite i20 ASTA 1.2 (O),Elite i20 ASTA 1.2 (O),Hyundai,2018,PETROL,81961,Manual,687000,Bangalore
Honda City 1.5L I-VTEC VX CVT,City 1.5L I-VTEC VX CVT,Honda,2017,PETROL,124446,Automatic,790000,Bangalore
Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,Grand i10 SPORTZ 1.2 KAPPA VTVT,Hyundai,2015,PETROL,52074,Manual,458000,Bangalore
Honda Amaze 1.2L I-VTEC V CVT,Amaze 1.2L I-VTEC V CVT,Honda,2018,PETROL,59863,Automatic,725000,Bangalore
Tata NEXON XZA PLUS (HS) PETROL,NEXON XZA PLUS (HS) PETROL,Tata,2022,PETROL,11001,Automatic,1220000,Bangalore
Honda Jazz 1.2L I-VTEC V AT,Jazz 1.2L I-VTEC V AT,Honda,2017,PETROL,57291,Automatic,635000,Bangalore
KIA SELTOS HTX PLUS AT1.5 DIESEL,SELTOS HTX PLUS AT1.5 DIESEL,KIA,2020,DIESEL,54526,Automatic,1440000,Bangalore
Honda City 1.5L I-VTEC V MT,City 1.5L I-VTEC V MT,Honda,2014,PETROL,73554,Manual,590000,Bangalore
Tata Harrier XZA PLUS 2.0L,Harrier XZA PLUS 2.0L,Tata,2020,DIESEL,68859,Automatic,1810000,Bangalore
Hyundai Grand i10 SPORTZ AT 1.2 KAPPA VTVT,Grand i10 SPORTZ AT 1.2 KAPPA VTVT,Hyundai,2018,PETROL,50840,Automatic,597000,Bangalore
Hyundai Grand i10 ASTA 1.2 KAPPA VTVT,Grand i10 ASTA 1.2 KAPPA VTVT,Hyundai,2017,PETROL,60620,Manual,527000,Bangalore
Hyundai Verna 1.6 VTVT SX (O) AT,Verna 1.6 VTVT SX (O) AT,Hyundai,2018,PETROL,61288,Automatic,913000,Bangalore
Hyundai Verna 1.6 CRDI SX,Verna 1.6 CRDI SX,Hyundai,2016,DIESEL,69384,Manual,801000,Bangalore
Honda Brio S MT,Brio S MT,Honda,2014,PETROL,87590,Manual,363000,Bangalore
Renault Duster 85 PS RXL DIESEL,Duster 85 PS RXL DIESEL,Renault,2014,DIESEL,82606,Manual,599000,Bangalore
Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,Grand i10 SPORTZ 1.2 KAPPA VTVT,Hyundai,2018,PETROL,11853,Manual,594000,Bangalore
Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,Grand i10 SPORTZ 1.2 KAPPA VTVT,Hyundai,2015,PETROL,81093,Manual,419000,Bangalore
Renault Duster RXL 1.6 PETROL,Duster RXL 1.6 PETROL,Renault,2016,PETROL,58909,Manual,664000,Bangalore
Maruti Ciaz ZXI,Ciaz ZXI,Maruti,2015,PETROL,97889,Manual,575000,Bangalore
Maruti Celerio ZXI AMT (O),Celerio ZXI AMT (O),Maruti,2017,PETROL,35997,Automatic,466000,Bangalore
Hyundai Elite i20 ASTA 1.2,Elite i20 ASTA 1.2,Hyundai,2017,PETROL,32241,Manual,711000,Bangalore
Hyundai Grand i10 SPORTZ AT 1.2 KAPPA VTVT,Grand i10 SPORTZ AT 1.2 KAPPA VTVT,Hyundai,2018,PETROL,44868,Automatic,581000,Bangalore
Hyundai Grand i10 ASTA (O) 1.2 KAPPA VTVT,Grand i10 ASTA (O) 1.2 KAPPA VTVT,Hyundai,2016,PETROL,41208,Manual,531000,Bangalore
Hyundai Grand i10 ASTA (O) 1.2 KAPPA VTVT,Grand i10 ASTA (O) 1.2 KAPPA VTVT,Hyundai,2016,PETROL,49862,Manual,538000,Bangalore
Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,Grand i10 SPORTZ 1.2 KAPPA VTVT,Hyundai,2015,PETROL,93513,Manual,403000,Bangalore
Hyundai Grand i10 ASTA 1.2 KAPPA VTVT,Grand i10 ASTA 1.2 KAPPA VTVT,Hyundai,2017,PETROL,21223,Manual,547000,Bangalore
Maruti S PRESSO VXI PLUS (O) AMT,S PRESSO VXI PLUS (O) AMT,Maruti,2023,PETROL,7370,Automatic,651000,Bangalore
KIA SONET HTX PLUS 1.0 IMT,SONET HTX PLUS 1.0 IMT,KIA,2022,PETROL,14039,Manual,1230000,Bangalore
Maruti Wagon R 1.0 VXI AMT,Wagon R 1.0 VXI AMT,Maruti,2017,PETROL,44109,Automatic,482000,Bangalore
Maruti Alto VXI,Alto VXI,Maruti,2019,PETROL,10041,Manual,387000,Bangalore
KIA SONET GTX PLUS 1.0 DCT,SONET GTX PLUS 1.0 DCT,KIA,2022,PETROL,19749,Automatic,1280000,Bangalore
KIA SONET GTX PLUS 1.0 IMT,SONET GTX PLUS 1.0 IMT,KIA,2022,PETROL,11162,Manual,1220000,Bangalore
KIA SONET GTX PLUS 1.0 IMT DUAL TONE,SONET GTX PLUS 1.0 IMT DUAL TONE,KIA,2022,PETROL,19669,Manual,1240000,Bangalore
Maruti Celerio ZXI AMT,Celerio ZXI AMT,Maruti,2016,PETROL,28404,Automatic,420000,Bangalore
Maruti Baleno ZETA PETROL 1.2,Baleno ZETA PETROL 1.2,Maruti,2017,PETROL,23573,Manual,700000,Bangalore
Maruti Wagon R 1.0 VXI AMT,Wagon R 1.0 VXI AMT,Maruti,2016,PETROL,48043,Automatic,416000,Bangalore
Maruti Celerio VXI AMT (O),Celerio VXI AMT (O),Maruti,2016,PETROL,62383,Automatic,455000,Bangalore
KIA SONET GTX PLUS 1.0 DCT,SONET GTX PLUS 1.0 DCT,KIA,2022,PETROL,16176,Automatic,1290000,Bangalore
Hyundai Eon ERA,Eon ERA,Hyundai,2011,PETROL,58637,Manual,237000,Bangalore
Hyundai VENUE SX (O) 1.0 TURBO DCT,VENUE SX (O) 1.0 TURBO DCT,Hyundai,2022,PETROL,15703,Automatic,1330000,Bangalore
KIA SONET GTX PLUS 1.5 AT,SONET GTX PLUS 1.5 AT,KIA,2021,DIESEL,27903,Automatic,1370000,Bangalore
Hyundai Grand i10 ASTA (O) 1.2 KAPPA VTVT,Grand i10 ASTA (O) 1.2 KAPPA VTVT,Hyundai,2016,PETROL,74972,Manual,498000,Bangalore
Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT,Grand i10 MAGNA 1.2 KAPPA VTVT,Hyundai,2018,PETROL,33903,Manual,498000,Bangalore
Renault Duster 85 PS RXL DIESEL,Duster 85 PS RXL DIESEL,Renault,2015,DIESEL,67386,Manual,625000,Bangalore
Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,Grand i10 SPORTZ 1.2 KAPPA VTVT,Hyundai,2015,PETROL,41548,Manual,436000,Bangalore
Maruti Wagon R 1.0 VXI AMT,Wagon R 1.0 VXI AMT,Maruti,2016,PETROL,40428,Automatic,408000,Bangalore
Hyundai NEW I20 ASTA (O) 1.2 MT,NEW I20 ASTA (O) 1.2 MT,Hyundai,2020,PETROL,28806,Manual,829000,Bangalore
Maruti Ciaz SIGMA 1.5 SHVS MT PETROL,Ciaz SIGMA 1.5 SHVS MT PETROL,Maruti,2019,PETROL,12567,Manual,775000,Bangalore
Maruti Alto K10 LXI,Alto K10 LXI,Maruti,2014,PETROL,63792,Manual,280000,Bangalore
Tata Tiago XZA PLUS PETROL,Tiago XZA PLUS PETROL,Tata,2023,PETROL,2280,Automatic,796000,Bangalore
Renault Kwid RXT 0.8 (O),Kwid RXT 0.8 (O),Renault,2016,PETROL,59775,Manual,308000,Bangalore
Hyundai GRAND I10 NIOS ASTA AMT 1.2 KAPPA VTVT,GRAND I10 NIOS ASTA AMT 1.2 KAPPA VTVT,Hyundai,2020,PETROL,45834,Automatic,656000,Bangalore
Renault Pulse RX L DIESEL,Pulse RX L DIESEL,Renault,2014,DIESEL,83897,Manual,292000,Bangalore
Tata NEXON XZA PLUS PETROL DUAL TONE,NEXON XZA PLUS PETROL DUAL TONE,Tata,2020,PETROL,59565,Automatic,879000,Bangalore
Maruti Baleno ZETA CVT PETROL 1.2,Baleno ZETA CVT PETROL 1.2,Maruti,2016,PETROL,83635,Automatic,531000,Bangalore
Honda Amaze 1.2L I-VTEC S,Amaze 1.2L I-VTEC S,Honda,2016,PETROL,51836,Manual,421000,Bangalore
Mahindra Scorpio S8,Scorpio S8,Mahindra,2015,DIESEL,61590,Manual,1010000,Bangalore
Maruti Swift VXI,Swift VXI,Maruti,2021,PETROL,13228,Manual,719000,Bangalore
Maruti Swift VXI,Swift VXI,Maruti,2011,PETROL,64003,Manual,354000,Bangalore
Hyundai VENUE S 1.2,VENUE S 1.2,Hyundai,2022,PETROL,18184,Manual,864000,Bangalore
Hyundai VENUE S 1.0 TURBO DCT,VENUE S 1.0 TURBO DCT,Hyundai,2019,PETROL,52244,Automatic,817000,Bangalore
Mahindra XUV500 W7 AT,XUV500 W7 AT,Mahindra,2018,DIESEL,67919,Automatic,1250000,Bangalore
Renault TRIBER RXZ,TRIBER RXZ,Renault,2019,PETROL,57625,Manual,610000,Bangalore
Maruti S PRESSO VXI AMT,S PRESSO VXI AMT,Maruti,2021,PETROL,9677,Automatic,464000,Bangalore
Hyundai GRAND I10 NIOS ASTA 1.2 KAPPA VTVT,GRAND I10 NIOS ASTA 1.2 KAPPA VTVT,Hyundai,2021,PETROL,37258,Manual,672000,Bangalore
Hyundai GRAND I10 NIOS SPORTZ AMT 1.2 KAPPA VTVT,GRAND I10 NIOS SPORTZ AMT 1.2 KAPPA VTVT,Hyundai,2020,PETROL,10218,Automatic,704000,Bangalore
Maruti Swift VDI,Swift VDI,Maruti,2013,DIESEL,97837,Manual,433000,Bangalore
Maruti Baleno ALPHA CVT PETROL 1.2,Baleno ALPHA CVT PETROL 1.2,Maruti,2019,PETROL,34783,Automatic,774000,Bangalore
Tata Tiago XZA PLUS PETROL,Tiago XZA PLUS PETROL,Tata,2020,PETROL,38930,Automatic,678000,Bangalore
Maruti Wagon R 1.0 VXI,Wagon R 1.0 VXI,Maruti,2016,PETROL,40339,Manual,389000,Bangalore
Honda City 1.5L I-VTE V CVT,City 1.5L I-VTE V CVT,Honda,2022,PETROL,17703,Automatic,1260000,Bangalore
Renault Kwid CLIMBER 1.0 AMT,Kwid CLIMBER 1.0 AMT,Renault,2017,PETROL,27849,Automatic,388000,Bangalore
Maruti Swift ZXI,Swift ZXI,Maruti,2014,PETROL,41074,Manual,516000,Bangalore
Maruti Swift VXI AMT,Swift VXI AMT,Maruti,2018,PETROL,29219,Automatic,645000,Bangalore
Maruti Celerio ZXI AMT (O),Celerio ZXI AMT (O),Maruti,2018,PETROL,43407,Automatic,470000,Bangalore
Maruti Alto K10 VXI AMT,Alto K10 VXI AMT,Maruti,2015,PETROL,32214,Automatic,345000,Bangalore
Maruti S PRESSO VXI+,S PRESSO VXI+,Maruti,2021,PETROL,31209,Manual,482000,Bangalore
Maruti Dzire ZXI PLUS AMT,Dzire ZXI PLUS AMT,Maruti,2017,PETROL,67275,Automatic,665000,Bangalore
Hyundai Creta SX PLUS AT 1.6 PETROL,Creta SX PLUS AT 1.6 PETROL,Hyundai,2017,PETROL,42546,Automatic,981000,Bangalore
Renault Kwid RXT 1.0 AMT,Kwid RXT 1.0 AMT,Renault,2019,PETROL,11581,Automatic,449000,Bangalore
Hyundai Elite i20 ASTA 1.2,Elite i20 ASTA 1.2,Hyundai,2017,PETROL,39866,Manual,674000,Bangalore
Hyundai i10 SPORTZ 1.2,i10 SPORTZ 1.2,Hyundai,2011,PETROL,47500,Manual,303000,Bangalore
Honda Amaze 1.2L I-VTEC SX,Amaze 1.2L I-VTEC SX,Honda,2016,PETROL,73832,Manual,453000,Bangalore
Maruti Baleno ALPHA PETROL 1.2,Baleno ALPHA PETROL 1.2,Maruti,2017,PETROL,54225,Manual,670000,Bangalore
Hyundai Grand i10 SPORTZ AT 1.2 KAPPA VTVT,Grand i10 SPORTZ AT 1.2 KAPPA VTVT,Hyundai,2018,PETROL,45828,Automatic,597000,Bangalore
Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,Grand i10 SPORTZ 1.2 KAPPA VTVT,Hyundai,2019,PETROL,51615,Manual,524000,Bangalore
Hyundai Grand i10 ASTA AT 1.2 KAPPA VTVT,Grand i10 ASTA AT 1.2 KAPPA VTVT,Hyundai,2014,PETROL,45424,Automatic,448000,Bangalore
Maruti Swift ZXI PLUS,Swift ZXI PLUS,Maruti,2018,PETROL,64747,Manual,718000,Bangalore
KIA SELTOS HTX IVT 1.5 PETROL,SELTOS HTX IVT 1.5 PETROL,KIA,2022,PETROL,39295,Automatic,1500000,Bangalore
Tata TIGOR XZA PETROL,TIGOR XZA PETROL,Tata,2017,PETROL,94257,Automatic,465000,Bangalore
Tata Tiago XZA PLUS PETROL,Tiago XZA PLUS PETROL,Tata,2022,PETROL,6541,Automatic,698000,Bangalore
Hyundai VENUE SX 1.2 PETROL,VENUE SX 1.2 PETROL,Hyundai,2023,PETROL,9717,Manual,1130000,Bangalore
Hyundai NEW SANTRO ASTA AMT,NEW SANTRO ASTA AMT,Hyundai,2020,PETROL,18062,Automatic,673000,Bangalore
Hyundai Verna FLUIDIC 1.6 CRDI SX,Verna FLUIDIC 1.6 CRDI SX,Hyundai,2014,DIESEL,89332,Manual,561000,Bangalore
Hyundai NEW SANTRO SPORTZ MT,NEW SANTRO SPORTZ MT,Hyundai,2019,PETROL,21868,Manual,557000,Bangalore
Tata PUNCH CREATIVE MT,PUNCH CREATIVE MT,Tata,2022,PETROL,20447,Manual,813000,Bangalore
Maruti Ciaz ZXI,Ciaz ZXI,Maruti,2014,PETROL,70337,Manual,558000,Bangalore
Renault Kwid RXT 1.0 (O),Kwid RXT 1.0 (O),Renault,2020,PETROL,19574,Manual,471000,Bangalore
Hyundai GRAND I10 NIOS ASTA 1.2 KAPPA VTVT,GRAND I10 NIOS ASTA 1.2 KAPPA VTVT,Hyundai,2019,PETROL,87055,Manual,623000,Bangalore
Renault TRIBER RXZ,TRIBER RXZ,Renault,2023,PETROL,20080,Manual,803000,Bangalore
Hyundai VENUE SX 1.0 TURBO,VENUE SX 1.0 TURBO,Hyundai,2021,PETROL,52456,Manual,934000,Bangalore
Renault Kwid RXT 1.0 (O),Kwid RXT 1.0 (O),Renault,2019,PETROL,24491,Manual,409000,Bangalore
Renault Kwid RXT 1.0 AMT (O),Kwid RXT 1.0 AMT (O),Renault,2022,PETROL,19430,Automatic,589000,Bangalore
Maruti XL6 ALPHA AT,XL6 ALPHA AT,Maruti,2021,PETROL,38819,Automatic,1120000,Bangalore
Hyundai Elite i20 ASTA 1.2 (O),Elite i20 ASTA 1.2 (O),Hyundai,2019,PETROL,25298,Manual,711000,Bangalore
Renault Kwid CLIMBER 1.0 (O),Kwid CLIMBER 1.0 (O),Renault,2021,PETROL,41705,Manual,484000,Bangalore
Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,Grand i10 SPORTZ 1.2 KAPPA VTVT,Hyundai,2018,PETROL,31709,Manual,543000,Bangalore
Maruti Baleno ZETA PETROL 1.2,Baleno ZETA PETROL 1.2,Maruti,2017,PETROL,31727,Manual,631000,Bangalore
Maruti Baleno DELTA PETROL 1.2,Baleno DELTA PETROL 1.2,Maruti,2018,PETROL,45037,Manual,532000,Bangalore
Hyundai Xcent S 1.2,Xcent S 1.2,Hyundai,2015,PETROL,54387,Manual,429000,Bangalore
Hyundai i20 SPORTZ 1.2,i20 SPORTZ 1.2,Hyundai,2014,PETROL,69425,Manual,465000,Bangalore
Tata NEXON XZA PLUS (O) PETROL DARK EDITION,NEXON XZA PLUS (O) PETROL DARK EDITION,Tata,2021,PETROL,28606,Automatic,1160000,Bangalore
Tata NEXON XZ PLUS PETROL,NEXON XZ PLUS PETROL,Tata,2022,PETROL,15785,Manual,996000,Bangalore
Maruti Baleno ZETA PETROL 1.2,Baleno ZETA PETROL 1.2,Maruti,2017,PETROL,48247,Manual,714000,Bangalore
Hyundai Elite i20 SPORTZ PLUS 1.2,Elite i20 SPORTZ PLUS 1.2,Hyundai,2019,PETROL,51792,Manual,669000,Bangalore
Honda City 1.5L I-VTEC VX CVT,City 1.5L I-VTEC VX CVT,Honda,2017,PETROL,93542,Automatic,784000,Bangalore
Maruti XL6 ZETA MT,XL6 ZETA MT,Maruti,2021,PETROL,24293,Manual,970000,Bangalore
Maruti Dzire VXI,Dzire VXI,Maruti,2018,PETROL,38827,Manual,627000,Bangalore
Honda Brio S MT,Brio S MT,Honda,2015,PETROL,30891,Manual,370000,Bangalore
Honda Amaze 1.5L I-DTEC S CVT,Amaze 1.5L I-DTEC S CVT,Honda,2018,DIESEL,79803,Automatic,676000,Bangalore
Honda Jazz 1.2L I-VTEC V,Jazz 1.2L I-VTEC V,Honda,2019,PETROL,45905,Manual,638000,Bangalore
Tata NEXON XM SUNROOF DIESEL,NEXON XM SUNROOF DIESEL,Tata,2022,DIESEL,23036,Manual,1040000,Bangalore
Maruti Baleno DELTA CVT PETROL 1.2,Baleno DELTA CVT PETROL 1.2,Maruti,2018,PETROL,36967,Automatic,690000,Bangalore
Maruti Wagon R 1.0 VXI,Wagon R 1.0 VXI,Maruti,2014,PETROL,35720,Manual,367000,Bangalore
Maruti Celerio VXI AMT (O),Celerio VXI AMT (O),Maruti,2019,PETROL,66087,Automatic,497000,Bangalore
Hyundai GRAND I10 NIOS ASTA 1.2 KAPPA VTVT,GRAND I10 NIOS ASTA 1.2 KAPPA VTVT,Hyundai,2020,PETROL,49849,Manual,655000,Bangalore
Maruti Baleno DELTA CVT PETROL 1.2,Baleno DELTA CVT PETROL 1.2,Maruti,2017,PETROL,79589,Automatic,651000,Bangalore
Honda BR-V 1.5L I-VTEC V CVT,BR-V 1.5L I-VTEC V CVT,Honda,2018,PETROL,81415,Automatic,885000,Bangalore
KIA SELTOS X LINE 1.4 PETROL DCT,SELTOS X LINE 1.4 PETROL DCT,KIA,2021,PETROL,13509,Automatic,1610000,Bangalore
Honda City 1.5L I-VTEC V MT,City 1.5L I-VTEC V MT,Honda,2013,PETROL,71720,Manual,483000,Bangalore
KIA SELTOS GTX PLUS DCT 1.4 PETROL,SELTOS GTX PLUS DCT 1.4 PETROL,KIA,2019,PETROL,36872,Automatic,1460000,Bangalore
Mahindra KUV 100 NXT K8 P 6 STR,KUV 100 NXT K8 P 6 STR,Mahindra,2018,PETROL,35107,Manual,481000,Bangalore
Hyundai Elite i20 ASTA 1.4 CRDI,Elite i20 ASTA 1.4 CRDI,Hyundai,2017,DIESEL,70639,Manual,700000,Bangalore
KIA CARENS LUXURY PLUS 1.4 PETROL 7 STR,CARENS LUXURY PLUS 1.4 PETROL 7 STR,KIA,2022,PETROL,40953,Manual,1580000,Bangalore
Maruti Baleno ALPHA 1.2 AGS,Baleno ALPHA 1.2 AGS,Maruti,2023,PETROL,5154,Automatic,1000000,Bangalore
KIA SELTOS HTK PLUS 1.5 DIESEL,SELTOS HTK PLUS 1.5 DIESEL,KIA,2019,DIESEL,40508,Manual,1200000,Bangalore
